area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;003003;022;04;1;2;2;1;2;2;1;2;2;2;3;3;3;3;3;3;3;2;2;2;1;1;2;2;2712;65,270142617686;010150003003;01015000300302204;010150003003022041;202109
1;10150;003003;022;05;1;2;2;3;3;2;3;2;3;3;3;3;2;1;1;3;3;2;2;2;3;3;3;3;2712;65,270142617686;010150003003;01015000300302205;010150003003022051;202109
1;10150;003003;022;06;1;3;3;1;1;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;65,270142617686;010150003003;01015000300302206;010150003003022061;202109
1;10150;003003;022;10;1;2;2;1;2;2;2;2;3;3;3;3;3;3;1;3;1;2;2;2;1;1;2;2;2712;65,270142617686;010150003003;01015000300302210;010150003003022101;202109
1;10150;003501;023;01;1;3;3;1;1;3;2;2;2;2;2;3;2;3;2;3;2;2;2;2;3;3;3;3;2712;218,584300482871;010150003501;01015000350102301;010150003501023011;202109
1;10150;003501;023;02;1;3;2;1;1;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;218,584300482871;010150003501;01015000350102302;010150003501023021;202109
1;10150;003501;023;03;1;3;3;1;2;3;2;3;2;1;1;3;2;3;2;3;3;2;2;2;3;3;3;3;2712;218,584300482871;010150003501;01015000350102303;010150003501023031;202109
1;10150;003501;023;04;1;1;2;1;1;3;2;3;2;1;2;3;2;2;2;2;2;2;2;2;3;3;3;3;2712;218,584300482871;010150003501;01015000350102304;010150003501023041;202109
1;10150;003501;023;05;1;3;2;1;1;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;218,584300482871;010150003501;01015000350102305;010150003501023051;202109
1;10150;003501;023;06;1;2;2;2;2;3;2;2;2;2;2;3;2;3;2;3;3;2;2;2;3;2;3;2;2712;218,584300482871;010150003501;01015000350102306;010150003501023061;202109
1;10150;003501;023;07;1;3;2;1;1;3;2;2;2;1;2;3;3;3;3;2;2;2;2;2;3;3;3;3;2712;218,584300482871;010150003501;01015000350102307;010150003501023071;202109
1;10150;005002;022;01;1;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;111,318504932066;010150005002;01015000500202201;010150005002022011;202109
1;10150;005002;022;03;1;2;2;2;2;2;2;2;2;3;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2711;111,318504932066;010150005002;01015000500202203;010150005002022031;202109
1;10150;005002;022;04;1;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2711;111,318504932066;010150005002;01015000500202204;010150005002022041;202109
1;10150;005002;022;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;3;2;2;2;2711;111,318504932066;010150005002;01015000500202206;010150005002022061;202109
1;10150;005002;022;07;1;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;111,318504932066;010150005002;01015000500202207;010150005002022071;202109
1;10150;005002;022;08;1;3;1;2;2;3;2;3;2;2;2;3;2;3;3;3;3;2;2;2;3;2;3;2;2711;111,318504932066;010150005002;01015000500202208;010150005002022081;202109
1;10150;005002;022;09;1;3;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2711;111,318504932066;010150005002;01015000500202209;010150005002022091;202109
1;10150;006102;024;02;1;3;2;1;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;1;2;2;2;2;2712;343,001569613311;010150006102;01015000610202402;010150006102024021;202109
1;10150;006102;024;03;1;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;3;3;3;3;2712;343,001569613311;010150006102;01015000610202403;010150006102024031;202109
1;10150;006102;024;04;1;3;2;2;2;2;2;2;2;1;1;3;3;3;2;2;2;2;2;2;2;2;2;2;2712;343,001569613311;010150006102;01015000610202404;010150006102024041;202109
1;10150;006102;024;05;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;343,001569613311;010150006102;01015000610202405;010150006102024051;202109
1;10150;006102;024;08;1;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2712;343,001569613311;010150006102;01015000610202408;010150006102024081;202109
