Fecha - date;"TempAir_Avg
ºC";HumAir_Avg %;Termocuple_Avg(24) ºC;TempAir_max ºC;HumAir_max ºC;Termocuple_max(24) ºC;,TempAir_min ºC;HumAir_min ºC;Termocuple_min(24)
13/7/2022;17,37201342;80,85201342;23,66966443;21,89;93;25,9;12,71;57,41;17,78
14/7/2022;19,02703448;71,318;24,85186207;25,34;92,4;27,37;13,88;42,42;17,82
15/7/2022;19,24413793;74,84062069;25,13055172;23,63;92,8;27,82;13,29;54,95;17,64
16/7/2022;18,07317568;77,04209459;22,88668919;22,47;93;25,88;12,51;58,75;17,49
17/7/2022;17,19937931;74,09110345;21,86924138;20,35;91,2;23,28;12,62;57,5;17,64
18/7/2022;20,54375;52,82092105;24,44532895;23,78;75,49;27,5;15,12;43,1;16,52
19/7/2022;21,12496855;51,17358491;24,86125786;24,64;89,2;28,47;12,3;38,66;15,71
20/7/2022;19,75722581;59,18006452;24,37283871;23,88;88;27,43;13,77;42,21;17,34
21/7/2022;19,49719745;60,09210191;24,79070064;24,26;92,2;27,91;12,61;40,95;15,71
22/7/2022;18,25080537;72,33959732;24,51033557;22,68;92,5;26,42;13,98;50,21;18,13
23/7/2022;17,96896552;78,68896552;24,63124138;22,85;92,8;26,81;13,23;52,85;17,75
24/7/2022;17,46836879;81,63113475;23,54070922;22,14;94,2;26,33;13,41;58,73;18,22
25/7/2022;18,17911111;80,99192593;24,36385185;22,6;93,1;26,98;13,83;60,63;17,85
26/7/2022;17,91435897;82,55320513;24,52288462;21,7;94,2;27,01;13,76;69,63;17,25
27/7/2022;17,2985906;84,14389262;23,79275168;22,43;93,6;25,84;13,37;62,49;18,01
28/7/2022;19,85013333;70,49173333;25,055;24,46;93,3;28,67;13,37;46,22;16,99
29/7/2022;21,66836478;53,36301887;25,71194969;25,86;92,3;29,19;11,5;37,22;17,12
30/7/2022;21,39509434;58,92320755;26,67150943;26,28;92,3;29,68;14,33;37,39;17,91
31/7/2022;20,08948387;68,41716129;25,62974194;25,55;92,3;28,8;13,14;44,43;17,16
1/8/2022;19,32070064;74,8488535;25,68802548;22,79;92,4;28,35;14,93;56,34;18,18
2/8/2022;19,20019868;74,92178808;25,20516556;25,3;92,7;27,81;14,53;43,91;18,92
3/8/2022;19,65913333;70,60993333;25,27106667;23,08;92,3;28,07;14,44;52,24;17,28
4/8/2022;18,68238411;77,43821192;24,67463576;21,29;92,2;27,08;14,29;62,15;17,91
5/8/2022;17,24358108;83,42331081;23,63567568;20,74;93;25,74;14,22;65,98;18,07
6/8/2022;18,84512821;70,88769231;23,91878205;23,13;92,7;26,48;13,26;50,87;16,75
7/8/2022;21,11597403;49,70701299;24,62883117;25,27;83,2;27,9;13,75;37,44;15,91
8/8/2022;20,40115385;58,58153846;24,36884615;25,36;91,4;26,87;15,18;36,13;16,57
9/8/2022;20,27187097;53,058;24,18812903;23,84;72,32;27,05;15,41;40,45;17,04
10/8/2022;19,15726115;63,07242038;24,06828025;22,63;91,1;26,69;13,47;48,37;17,15
11/8/2022;20,15598684;55,03335526;24,87677632;24,67;91,6;28,31;13,93;32,59;16,74
12/8/2022;20,66398734;52,81981013;25,19177215;25,19;91,6;28,27;12,13;29,41;17,23
13/8/2022;19,34892405;58,17044304;23,93525316;23,85;92,1;27,29;10,01;29,4;14,5
14/8/2022;20,06134228;64,6409396;25,68671141;25,23;92,5;28,83;14,11;38,35;17,75
15/8/2022;19,95592357;63,38898089;24,50063694;24,89;92,2;27,06;14,62;36,98;18,43
16/8/2022;20,92734177;61,52613924;25,90879747;26,13;92;29,03;13,23;35,49;17,49
17/8/2022;20,8756129;61,16103226;25,53754839;27,49;92;29,04;12,31;29,26;15,99
18/8/2022;20,39582278;64,20139241;25,36158228;25,96;91,9;28,41;13,18;34,75;16,02
19/8/2022;20,98072368;53,57894737;25,56980263;24,31;92,7;28,22;14,38;35,75;18,42
20/8/2022;18,82359477;66,46313725;24,28444444;22,37;92,1;26,73;14,64;48,33;18,26
21/8/2022;19,96527397;54,73986301;23,85753425;22,96;92,1;25,87;13,53;44,93;17,09
22/8/2022;20,00525641;47,12;23,10416667;24,24;79,84;26,12;12,03;33,66;15,59
23/8/2022;20,81063291;40,63462025;23,84689873;24,72;75,4;27,49;9,77;28,93;13,82
24/8/2022;20,19346667;46,2314;24,67346667;24,06;76,13;27,46;12,23;33,58;17,55
25/8/2022;19,94993548;47,8736129;24,49735484;23,23;85,5;26,93;13,4;37,18;16,59
26/8/2022;20,81489933;56,99328859;25,52442953;26,38;91,6;28,85;14,67;32,52;17,92
27/8/2022;20,92363636;57,74824675;25,81090909;27,32;91,7;29,18;11,07;27,64;16,89
28/8/2022;18,80284768;67,28364238;24,36821192;22,39;92;26,29;12,73;47,03;18,69
29/8/2022;20,44025974;53,6261039;24,35285714;25,46;79,93;27,22;14,98;37,79;16,94
30/8/2022;19,53980132;56,75423841;23,42205298;23,75;83;25,95;13,16;43,45;16,33
31/8/2022;19,17589744;62,32038462;23,5449359;22,9;91,6;26,14;12,13;42,97;15,65
1/9/2022;20,38722581;61,93851613;25,52458065;26,46;91,4;28,83;10,51;34,99;16,42
2/9/2022;20,89206452;64,02522581;26,282;28,69;92,8;29,34;12,28;31,26;17,69
3/9/2022;21,11172185;53,80099338;25,32423841;25,43;84,2;27,68;14,6;42,24;18,93
4/9/2022;20,09026316;46,22776316;24,89796053;23,42;57,94;27,35;16,43;37,7;18,71
5/9/2022;19,09503497;53,94776224;23,55853147;21,97;68,81;25,49;15,88;43,3;18,24
6/9/2022;18,52636986;49,25465753;22,84917808;21,15;71,39;25;12,9;40,08;16,08
7/9/2022;20,29888889;52,47640523;23,71535948;23,48;75,91;26,58;13,46;41,73;16,41
8/9/2022;21,29185897;55,21019231;25,49089744;26,62;91,4;29,21;11,3;30,97;15,39
9/9/2022;21,86358491;44,97113208;25,38194969;26,8;80,4;28,96;11,16;27,73;15,7
10/9/2022;21,41111111;49,61647059;26,41607843;25,42;65,13;29,18;16,79;38,61;19,18
11/9/2022;20,6675817;52,63712418;25,91686275;24,4;90,9;27,89;14,61;37,76;19,47
12/9/2022;19,83414013;62,41184713;24,94369427;24,83;91,2;28,25;10,88;33,47;15,52
13/9/2022;20,67210191;62,61242038;26,0422293;26,18;90,6;29,06;12,87;36,07;17,35
14/9/2022;20,89412903;63,16245161;26,72948387;26,43;92,2;30,07;13,23;37,05;18,15
15/9/2022;21,60039735;59,57615894;26,75682119;27,92;91,3;29,82;15,16;34,59;18,15
16/9/2022;16,52651852;77,75755556;23,276;21,8;92,7;25,42;12,42;51,17;18,77
17/9/2022;18,63558621;74,83827586;24,62193103;23,71;92,3;27,5;13,74;47,31;17,74
18/9/2022;19,72290323;67,47341935;25,46219355;24,56;91,7;28,2;13,38;43,1;17,46
19/9/2022;18,96550336;69,83087248;25,45067114;23,32;91,9;27,57;13,78;48,72;18,4
20/9/2022;19,47668919;69,66236486;25,52891892;23,71;92;28,08;14,41;45,06;18,08
21/9/2022;18,98346667;73,40133333;25,527;22,58;92,6;27,93;13,92;55,83;18,65
22/9/2022;20,18013245;67,61860927;25,88324503;23,95;92,4;28,64;13,43;47,77;17,99
23/9/2022;21,25058065;58,50258065;25,80774194;27,54;91,2;29,07;12,51;26,62;16,88
24/9/2022;19,77766423;65,41875912;25,11854015;24,72;92,5;27,55;14,13;45,89;18,61
25/9/2022;21,63162338;59,15435065;26,03831169;27,55;91,3;28,87;13,93;36,19;18,06
26/9/2022;22,02902597;45,8424026;25,73753247;26,9;83;28,73;13,85;26,95;17,59
27/9/2022;22,14902597;50,37779221;26,13954545;27,13;91,5;29,84;15,31;27,27;16,33
28/9/2022;19,54412162;66,09716216;25,16216216;24,03;91,5;28,24;13,73;45,12;17,99
29/9/2022;19,62380952;71,10782313;25,89047619;24,94;91,9;28,62;13,82;39,15;18,78
30/9/2022;19,2916;69,98693333;25,36106667;23,61;91,4;28,07;12,26;50,44;17,28
1/10/2022;20,79555556;52,60163399;24,56928105;25,9;86,7;27,75;13,9;35,09;16,95
2/10/2022;20,65627451;47,77084967;24,84215686;23,22;70;27,01;14,58;40,42;18,14
3/10/2022;22,44506494;48,09558442;26,78545455;26,7;90,6;30,25;15,86;30,3;18,08
4/10/2022;20,16882353;63,38496732;25,70013072;25,28;91,2;28,54;14,71;38,44;16,92
5/10/2022;20,25972603;69,46315068;26,51136986;25,09;92,5;29,4;13,54;44,67;18,69
6/10/2022;19,07322368;72,87315789;25,38243421;23,61;91,8;28,25;13,96;51,41;18,04
7/10/2022;19,75891156;70,32306122;25,05639456;23,65;91,2;28,21;13,65;50,74;17,4
8/10/2022;18,96263514;73,88148649;24,68398649;22,13;91,5;27,04;14,39;56,86;17,61
9/10/2022;20,50535948;61,59013072;25,25333333;24,7;92,4;27,53;14,18;41,45;17,86
10/10/2022;21,37771242;51,63091503;25,2730719;26,09;90,8;28,32;13,91;31,46;16,78
11/10/2022;21,74593103;47,08862069;26,23655172;24,78;78,77;28,82;16,32;35,99;20,01
12/10/2022;20,57482993;62,86251701;25,94843537;25,71;91,4;29,19;14,43;39,26;17,26
13/10/2022;18,9037931;74,73544828;25,76013793;22,61;93,1;28,32;13,8;57,17;19,26
14/10/2022;19,81532895;71,22493421;26,01171053;26,58;90,9;29,12;14,74;36,65;18,43
15/10/2022;19,08965753;73,74034247;24,77260274;24,66;92;27,51;14,35;43,36;18,69
16/10/2022;20,29597315;64,75033557;25,34402685;25,52;90,4;28,62;14,91;41,68;18,09
17/10/2022;17,81846715;81,84226277;24,39751825;22,9;93,6;26,21;14,13;60,09;18,56
18/10/2022;18,43137931;79,41882759;24,812;23,66;91,9;27,06;13,99;54,79;17,92
19/10/2022;17,52165414;82,95165414;23,25270677;22,52;93,6;25,63;13,85;58,74;18,12
20/10/2022;18,19365517;81,25475862;24,01862069;21,85;93,7;27,19;13,54;66,39;16,93
21/10/2022;19,90284768;74,85119205;25,93331126;24,07;93,2;28,91;14,31;60,37;18,15
22/10/2022;19,30191176;76,84382353;25,53397059;22,98;93,4;27,74;14,26;59,38;19,29
23/10/2022;20,35591549;74,04549296;26,06549296;26,87;93,3;28,85;14,99;50,25;18,72
24/10/2022;19,75217687;74,32394558;25,7677551;25,03;93,3;28,34;15,28;46,75;19,67
25/10/2022;19,6149635;76,31051095;25,38189781;25,35;92,1;27,77;15,06;49,64;18,7
26/10/2022;18,61287879;79,2094697;24,99393939;23,03;93,7;27,46;14,25;60,35;19,01
27/10/2022;19,20541096;77,62883562;25,07575342;26,46;92,9;27,58;14,57;46,38;18,3
28/10/2022;18,37758621;78,02027586;24,72358621;22,71;93;26,7;13,33;59,53;18,47
29/10/2022;19,98307692;68,35525641;25,19891026;23,65;91,7;28,38;13,58;49,32;17,06
30/10/2022;20,31231788;65,62086093;26,05271523;24,72;92;28,97;14,27;46,1;18,5
31/10/2022;20,39019608;62,85457516;25,21150327;24,59;91,3;28,61;11,92;39,86;16,43
1/11/2022;21,18675676;65,05324324;26,72851351;27,34;92,6;30,1;14,28;39,8;18,95
2/11/2022;20,079;58,19521429;24,58385714;22,65;88,7;27,02;15,32;46,46;18,96
3/11/2022;20,17880282;64,46464789;25,29394366;24,81;92;28,41;14,45;42,34;18
4/11/2022;19,46248366;70,20627451;25,66699346;23,31;92,9;28,09;14,09;52,97;18,96
5/11/2022;19,57241611;68,38053691;25,66033557;23,87;91;28,37;13,97;49,95;18
6/11/2022;20,83348993;63,02550336;25,99355705;25,32;90,9;29,08;14,5;39,44;17,96
7/11/2022;20,63052632;64,27927632;26,26888158;26,25;90,8;29,06;13,82;37,2;18,47
8/11/2022;19,75424658;71,53890411;26,04849315;26,53;92,4;28,99;13,31;42,01;18,65
9/11/2022;18,98673759;76,11141844;25,8777305;24,39;92,8;28,54;14,38;48,56;19,32
10/11/2022;18,45112676;77,53591549;24,88542254;24,56;92,8;27,01;14,14;43,95;18,94
11/11/2022;20,23944828;67,74462069;25,49917241;24,96;91,5;28,71;15,21;45,92;18,39
12/11/2022;18,93223776;75,44167832;25,6451049;22,66;91,6;27,96;14,13;59,3;18,77
13/11/2022;19,9252027;66,08925676;25,24689189;24,12;88,3;28,61;14,03;48,26;17,23
14/11/2022;20,11727273;71,03867133;25,79426573;24,48;91,6;28,62;15,16;54,48;18,81
15/11/2022;19,25666667;76,16938776;25,26503401;25,52;92,7;28,38;14,31;44,02;18,47
16/11/2022;20,37697987;73,10080537;26,5614094;23,74;91,6;29,46;14,28;53,72;19,29
17/11/2022;18,63076389;78,46930556;24,64520833;24,09;92,9;26,3;14,55;54,15;19,7
18/11/2022;21,19646667;67,69646667;26,52533333;27,34;92,9;30,15;13,79;38,79;18,19
19/11/2022;21,32155405;66,64743243;27,30891892;27,85;91,2;30,24;14,53;36,28;19,68
20/11/2022;19,46269504;78,45453901;25,86957447;25,83;93,2;28,66;14,54;52,55;19,78
21/11/2022;19,37734694;78,73102041;25,99897959;23,67;92,4;28,45;14,61;59,94;18,94
22/11/2022;19,56255034;72,0438255;25,45214765;23,22;93,5;27,37;13,35;51,49;18,74
23/11/2022;19,32774834;70,02543046;24,79953642;24,14;92,2;28,48;12,54;47,02;17,17
24/11/2022;19,82785714;71,50025974;26,29974026;24,66;92,4;29;13,8;46,59;18,9
25/11/2022;20,01926471;70,84367647;26,17455882;24,83;92,5;28,97;14,9;48,05;19,13
26/11/2022;19,63291391;69,8297351;25,94907285;24,06;92,1;28,87;13,82;48,51;18,21
27/11/2022;19,13107143;73,64164286;25,60664286;23,18;91,9;28,4;14,45;55,52;18,73
28/11/2022;17,56527397;83,27486301;24,37253425;22;92,5;26,4;14,04;68,68;18,68
29/11/2022;18,73337748;73,79483444;24,99430464;22,18;93,4;28,08;12,77;52,13;17,41
30/11/2022;20,23016949;64,89881356;22,59084746;23,51;92,5;25,36;13,66;50,88;18,56
